Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","004","Afghanistan","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.012","E","Estimated value"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.518","E","Estimated value"
"ET","Temperature change on land","012","Algeria","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.688","E","Estimated value"
"ET","Temperature change on land","016","American Samoa","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.256","E","Estimated value"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2022","2022","°c","3.243","E","Estimated value"
"ET","Temperature change on land","024","Angola","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.212","E","Estimated value"
"ET","Temperature change on land","660","Anguilla","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.839","E","Estimated value"
"ET","Temperature change on land","010","Antarctica","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.476","E","Estimated value"
"ET","Temperature change on land","028","Antigua and Barbuda","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.77","E","Estimated value"
"ET","Temperature change on land","032","Argentina","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.643","E","Estimated value"
"ET","Temperature change on land","051","Armenia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.707","E","Estimated value"
"ET","Temperature change on land","533","Aruba","7271","Temperature change","7020","Meteorological year","2022","2022","°c","","O","Missing value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.754","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.498","E","Estimated value"
"ET","Temperature change on land","031","Azerbaijan","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.08","E","Estimated value"
"ET","Temperature change on land","044","Bahamas","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.48","E","Estimated value"
"ET","Temperature change on land","048","Bahrain","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.017","E","Estimated value"
"ET","Temperature change on land","050","Bangladesh","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.216","E","Estimated value"
"ET","Temperature change on land","052","Barbados","7271","Temperature change","7020","Meteorological year","2022","2022","°c","","O","Missing value"
"ET","Temperature change on land","112","Belarus","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.922","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.807","E","Estimated value"
"ET","Temperature change on land","084","Belize","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.031","E","Estimated value"
"ET","Temperature change on land","204","Benin","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.884","E","Estimated value"
"ET","Temperature change on land","064","Bhutan","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.523","E","Estimated value"
"ET","Temperature change on land","068","Bolivia (Plurinational State of)","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.644","E","Estimated value"
"ET","Temperature change on land","070","Bosnia and Herzegovina","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.091","E","Estimated value"
"ET","Temperature change on land","072","Botswana","7271","Temperature change","7020","Meteorological year","2022","2022","°c","-1.305","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.926","E","Estimated value"
"ET","Temperature change on land","092","British Virgin Islands","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.875","E","Estimated value"
"ET","Temperature change on land","096","Brunei Darussalam","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.446","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.831","E","Estimated value"
"ET","Temperature change on land","854","Burkina Faso","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.802","E","Estimated value"
"ET","Temperature change on land","108","Burundi","7271","Temperature change","7020","Meteorological year","2022","2022","°c","","O","Missing value"
"ET","Temperature change on land","132","Cabo Verde","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.853","E","Estimated value"
"ET","Temperature change on land","116","Cambodia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.948","E","Estimated value"
"ET","Temperature change on land","120","Cameroon","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.044","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.268","E","Estimated value"
"ET","Temperature change on land","136","Cayman Islands","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.974","E","Estimated value"
"ET","Temperature change on land","140","Central African Republic","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.032","E","Estimated value"
"ET","Temperature change on land","148","Chad","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.738","E","Estimated value"
"ET","Temperature change on land","830","Channel Islands","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.442","E","Estimated value"
"ET","Temperature change on land","152","Chile","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.407","E","Estimated value"
"ET","Temperature change on land","159","China","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.904","E","Estimated value"
"ET","Temperature change on land","344","China, Hong Kong SAR","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.432","E","Estimated value"
"ET","Temperature change on land","446","China, Macao SAR","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.432","E","Estimated value"
"ET","Temperature change on land","156","China, mainland","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.906","E","Estimated value"
"ET","Temperature change on land","158","China, Taiwan Province of","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.383","E","Estimated value"
"ET","Temperature change on land","162","Christmas Island","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.818","E","Estimated value"
"ET","Temperature change on land","166","Cocos (Keeling) Islands","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.691","E","Estimated value"
"ET","Temperature change on land","170","Colombia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.874","E","Estimated value"
"ET","Temperature change on land","174","Comoros","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.521","E","Estimated value"
"ET","Temperature change on land","178","Congo","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.245","E","Estimated value"
"ET","Temperature change on land","184","Cook Islands","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.479","E","Estimated value"
"ET","Temperature change on land","188","Costa Rica","7271","Temperature change","7020","Meteorological year","2022","2022","°c","","O","Missing value"
"ET","Temperature change on land","384","Côte d'Ivoire","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.169","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.209","E","Estimated value"
"ET","Temperature change on land","192","Cuba","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.437","E","Estimated value"
"ET","Temperature change on land","196","Cyprus","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.237","E","Estimated value"
